Green Bond ISIN,Green Bond Name,Trucost Issuer ID, Issuer Name,Issuer GICS Sector / Category,Issuer Country of Origin,Issue Date,Creation Date,Latest Analysis Date,Nominal Amount,Currency,USD Reported Currency Exchange Rate,Maturity Date,Coupon (%),Labelling,Africa (% of UOP),Asia (% of UOP),Europe (% of UOP),North America (% of UOP),Oceania (% of UOP),South America (% of UOP),Undisclosed region (% of UOP),CBI Category,CBI - Green Proceeds (% of UOP),CBI - Renewable Electricity and Heat Production (% of UOP),CBI - Other Electricity and Heat Production (% of UOP),CBI - Nuclear Energy (%UOP),"CBI -  Transmission, distribution & storage (% of UOP)",CBI -  Transport (% of UOP),CBI -  Water (% of UOP),CBI -  Buildings (% of UOP),CBI -  Land Use and Marine Resources (% of UOP),CBI -  Industry (% of UOP),CBI -  Waste (% of UOP),CBI -  ICT (% of UOP),CBI - Others Green (% of UOP),CBI - Undisclosed/Not disbursed proceeds (% of UOP),CBI - Proceeds that are Not Green (% of UOP),Wind Energy (% of UOP),Solar Energy (% of UOP),Hydro Energy (% of UOP),Geothermal Energy (% of UOP),Wave/Tidal Energy (% of UOP),Cogeneration Energy (% of UOP),Bioenergy (% of UOP),Residential Buildings (% of UOP),Commercial Buildings (% of UOP),Energy Efficient Products (% of UOP),Industrial Efficiencies (% of UOP),National Rail (% of UOP),Urban Rail (% of UOP),Public Road Transport (% of UOP),Private Road Transport (% of UOP),Social (% of UOP),Total (GWh),Total Area (m2),Total Passenger (km),Total Energy savings (MWh),CBI - Renewable Electricity and Heat Production (GWh),CBI - Area (m2),CBI - Passenger (km),CBI - Energy savings (MWh),Annual Construction & Disposal emissions (tCO2e),Annual Operational emissions (tCO2e),Lifetime Construction & Disposal emissions (tCO2e),Lifetime Operational emissions (tCO2e),Lifetime emission intensity (tCO2e per GWh),Lifetime emission intensity (tCO2e per Area m2),Lifetime emission intensity (tCO2e per passenger km),Lifetime emission intensity (tCO2e per energy savings MWh),SDG 13 (13.2) Calculated Avoided Emissions Intensity (tCO2e/USD million invested),SDG 13 (13.2) Calculated Avoided Emissions Attributable to the bond (tCO2e),Use of Proceeds Covered by Calculated Avoided Emissions (%),SDG 13 (13.2) Disclosed Avoided Emissions Intensity (tCO2e/USD million invested),SDG 13 (13.2) Disclosed Avoided Emissions (tCO2e),Use of Proceeds Covered by Disclosed Avoided Emissions (%),Calculated Avoided Emissions - Confidence Level,Issuer Score,Impact Score,Use of Proceeds Covered by Impact Score (%),Overall Governance Score,Governance/UOP Score (%),Governance/Process Score (%),Governance/Management Score (%),Governance/Reporting Score (%),Sources
XS1437623355,0.75% SNR MTN 12/07/21 EUR100000'36'REGS,51359,"Bank of China Limited, Luxembourg Branch",Financials,Luxembourg,12/07/2016,03/01/2019,03/01/2019,500,EUR,1.13,12/7/2021,0.75,Green,0,97,0,0,0,0,3,Renewable Electricity and Heat Production,100,6,0,0,0,92,0,0,0,0,2,0,0,0,0,No sufficient information,No sufficient information,No sufficient information,No sufficient information,No sufficient information,No sufficient information,No sufficient information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-343,-343,,,,,,,,,,,http://pic.bankofchina.com/bocappd/report/201804/P020180428381681224343.pdf
CA891145N340,SR DEB 1.824%17,51515,The Toronto-Dominion Bank,Financials,Canada,28/03/2014,03/01/2019,03/01/2019,500,CAD,0.78,3/4/2017,1.82,Green,0,0,0,15,0,0,85,Buildings,96,17,2,0,0,26,0,43,0,0,8,0,0,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-33,-33,,,,,,,,,,,https://www.td.com/document/PDF/corporateresponsibility/2017-TD-ESG-Appendix.pdf
US25389JAL08,GTD SR NT 3.950 Jul-1-2022,54602,"Digital Realty Trust, L.P.",Financials,United States,18/06/2015,03/01/2019,03/01/2019,500,USD,1,1/7/2022,3.95,Green,0,0,29,49,20,0,2,Buildings,99,0,0,0,0,0,0,99,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,https://www.digitalrealty.co.uk/about/sustainability/green-bond
BE0002622034,1.375% SNR EMTN 21/11/33 EUR100000'REGS',NA,Flemish Government,Industrials,Belgium,21/11/2018,06/01/2019,06/01/2019,500,EUR,1.12,21-11-33,1.38,Sustainable,0,0,100,0,0,0,0,Not Green,5,0,0,0,0,0,0,5,0,0,0,0,0,0,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,http://www.financeflanders.be/allocation-0
XS1685589027,0.625% SNR NTS 19/09/2022 EUR100000'145',238470,Hypo Vorarlberg Bank AG,Financials,Austria,19/09/2017,20/04/2021,20/04/2021,300,EUR,1.15,19-09-22,0.63,Green,0,0,100,0,0,0,0,Buildings,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,-1,-462,,NA,NA,56,,92,100,100,67,100,https://www.hypovbg.at/fileadmin/Hypovbg/Hypo-Vorarlberg/Investor-Relations/Green-Bond/Green-Bond-oekom-SPO-DE_Hypo_Vorarlberg.pdf
XS1500338618,0.5% SNR BDS 13/11/2037 EUR1000 '2244',91158,European Investment Bank,Financials,Luxembourg,05/10/2016,21/04/2021,21/04/2021,500,EUR,1.14,13-11-37,0.5,Green,3,2,93,1,0,0,0,Renewable Electricity and Heat Production,100,84,0,0,2,0,0,7,0,0,1,0,7,0,0,51,3,0,0,0,7,0,0,0,7,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,,NA,NA,,NA,NA,70,,75,100,100,100,0,https://www.eib.org/attachments/fi/cab-statement-2016.pdf
XS2066639522,0% SNR MTN 17/10/2024 EUR1000,89414,The European Bank for Reconstruction and Development,Financials,United Kingdom,17/10/2019,17/04/2021,17/04/2021,500,EUR,1.15,17-10-24,0,Green,16,39,24,0,0,0,21,Others Green,100,35,0,0,0,15,9,0,0,0,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,91,58,,76,75,100,100,29,https://www.ebrd.com/news/publications/sustainability-report/ebrd-sustainability-report-2019.html
XS1720639779,0% GTD SNR EMTN 21/07/2021 EUR100000'596,44537,Toyota Motor Credit Corporation,Financials,United States,21/11/2017,18/05/2021,18/05/2021,600,EUR,1.15,21-07-21,0,Green,0,0,0,0,0,0,100,Transport,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,74,66,,80,75,100,100,43,https://www.toyotafinancial.com/content/dam/tmcc-webcommons/toyotafinancial/documents/investor-relations/green-bond/2018/Green%20Bond%20Use%20of%20Proceeds%20Report%20-%20May%202018.pdf
US298785JA59,GLOBAL NT 1.625 Oct-9-2029,91158,European Investment Bank,Financials,Luxembourg,02/10/2019,20/05/2021,20/05/2021,1000,USD,1,9/10/2029,1.63,Green,0,0,92,0,0,0,8,Transport,100,22,0,0,11,26,0,19,0,0,0,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,97,53,,77,96,100,67,43,https://www.eib.org/attachments/fi/2020-projects-supported-by-cabs.pdf
XS2082818951,1.125%-FR LT2 EMTN 21/11/29 EUR1000'2027,42698,Australia and New Zealand Banking Group Limited,Financials,Australia,21/11/2019,17/06/2021,17/06/2021,1000,EUR,1.16,21-11-29,1.13,Sustainable,0,5,2,2,91,1,0,Buildings,65,13,0,0,0,14,0,39,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,43,40,,75,58,100,100,43,https://www.anz.com/content/dam/anzcom/debtinvestors/anz-sdg-bond-uop-report-31-mar-2021.pdf
XS1912495691,0.625% SNR NTS 22/11/2027 EUR1000'100597,234773,International Bank for Reconstruction and Development,Financials,United States,20/11/2018,17/06/2021,17/06/2021,600,EUR,1.14,22-11-27,0.63,Green,7,68,4,8,0,14,0,Transport,100,11,0,0,4,30,8,1,17,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"-1,387","-832,108",,NA,NA,52,,100,100,100,100,100,https://treasury.worldbank.org/en/about/unit/treasury/ibrd/ibrd-green-bonds#2
US500630CQ96,SR NT FLTG RT 0.863 Jul-6-2022,243218,Korea Development Bank,Financials,South Korea,27/06/2017,09/07/2021,09/07/2021,300,USD,1,6/7/2022,2.03,Green,0,15,53,15,0,17,0,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,67,24,0,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,NA,NA,NA,287,NA,NA,NA,"8,257","7,114","41,285","35,568",24,NA,NA,NA,-431,"-129,348",,-518,"-155,400",,Low,NA,87,,92,100,100,67,100,https://www.kdb.co.kr/wcmscontents/pdf/2021_KDB_Investor_Newsletter.pdf
XS1972557737,0.5% SNR NTS 15/04/2023 EUR100000 'REGS',51978,"LG Chem, Ltd.",Materials,South Korea,15/04/2019,09/08/2021,09/08/2021,500,EUR,1.15,15-04-23,0.5,Green,0,24,68,8,0,0,0,Transport,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,57,88,,80,75,100,100,43,https://www.lgchem.com/asset/doc/LG_Chem_2020_Green_Bond_Annual_Report_vf.pdf
XS2230650405,0.375% SNR NTS 17/09/2030 SEK10000,91158,European Investment Bank,Financials,Luxembourg,17/09/2020,21/10/2021,22/10/2021,1600,SEK,0.12,17-09-30,0.38,Green,0,0,61,2,0,37,0,Renewable Electricity and Heat Production,100,47,0,0,29,24,0,1,0,0,0,0,0,0,0,45,0,0,0,0,1,0,0,0,0,0,23,1,0,0,0,30,NA,"47,480,157",NA,30,NA,"47,480,157",NA,229,"3,428","2,293","34,275",31,NA,NA,NA,-132,"-24,803",,-120,"-22,473",,Moderate,97,59,,100,100,100,100,100,https://www.eib.org/attachments/fi/cab-impact-report-2020.xlsx
